Freq[Hz]     dBSPL  Phase[Deg]
5.00000     39.825     0.000
5.07273     39.825     0.000
5.14651     39.825     0.000
5.22137     39.825     0.000
5.29732     39.825     0.000
5.37437     39.825     0.000
5.45254     39.825     0.000
5.53185     39.825     0.000
5.61231     39.825     0.000
5.69394     39.825     0.000
5.77676     39.825     0.000
5.86079     39.825     0.000
5.94604     39.825     0.000
6.03252     39.825     0.000
6.12027     39.825     0.000
6.20929     39.825     0.000
6.29961     39.825     0.000
6.39124     39.825     0.000
6.48420     39.825     0.000
6.57851     39.825     0.000
6.67420     39.825     0.000
6.77128     39.825     0.000
6.86977     39.825     0.000
6.96969     39.825     0.000
7.07107     39.825     0.000
7.17392     39.825     0.000
7.27827     39.825     0.000
7.38413     39.825     0.000
7.49154     39.825     0.000
7.60050     39.825     0.000
7.71105     39.825     0.000
7.82321     39.825     0.000
7.93701     39.825     0.000
8.05245     39.825     0.000
8.16958     39.825     0.000
8.28841     39.825     0.000
8.40896     39.825     0.000
8.53128     39.825     0.000
8.65537     39.825     0.000
8.78126     39.825     0.000
8.90899     39.825     0.000
9.03857     39.825     0.000
9.17004     39.825     0.000
9.30342     39.825     0.000
9.43874     39.825     0.000
9.57603     39.825     0.000
9.71532     39.825     0.000
9.85663     39.825     0.000
10.0000     39.825     0.000
10.1455     39.825     0.000
10.2930     39.825     0.000
10.4427     39.825     0.000
10.5946     39.825     0.000
10.7487     39.825     0.000
10.9051     39.825     0.000
11.0637     39.825     0.000
11.2246     39.825     0.000
11.3879     39.825     0.000
11.5535     39.825     0.000
11.7216     39.825     0.000
11.8921     39.825     0.000
12.0650     39.825     0.000
12.2405     39.825     0.000
12.4186     39.825     0.000
12.5992     39.825     0.000
12.7825     39.825     0.000
12.9684     39.825     0.000
13.1570     39.825     0.000
13.3484     39.825     0.000
13.5426     39.825     0.000
13.7395     39.825     0.000
13.9394     39.825     0.000
14.1421     39.825     0.000
14.3478     39.825     0.000
14.5565     39.825     0.000
14.7683     39.825     0.000
14.9831     39.825     0.000
15.2010     39.825     0.000
15.4221     39.825     0.000
15.6464     39.825     0.000
15.8740     39.825     0.000
16.1049     39.825     0.000
16.3392     39.825     0.000
16.5768     39.825     0.000
16.8179     39.825     0.000
17.0626     39.825     0.000
17.3107     39.825     0.000
17.5625     39.825     0.000
17.8180     39.825     0.000
18.0771     39.825     0.000
18.3401     39.825     0.000
18.6068     39.825     0.000
18.8775     39.825     0.000
19.1521     39.825     0.000
19.4306     39.825     0.000
19.7133     39.825     0.000
20.0000     39.825     0.000
20.2909     39.825     0.000
20.5860     39.825     0.000
20.8855     39.825     0.000
21.1893     39.825     0.000
21.4975     39.825     0.000
21.8102     39.825     0.000
22.1274     39.825     0.000
22.4492     39.825     0.000
22.7758     39.825     0.000
23.1071     39.825     0.000
23.4432     39.825     0.000
23.7841     39.825     0.000
24.1301     39.825     0.000
24.4811     39.825     0.000
24.8372     39.825     0.000
25.1984     39.825     0.000
25.5649     39.825     0.000
25.9368     39.825     0.000
26.3141     39.825     0.000
26.6968     39.825     0.000
27.0851     39.825     0.000
27.4791     39.825     0.000
27.8788     39.825     0.000
28.2843     39.825     0.000
28.6957     39.825     0.000
29.1131     39.825     0.000
29.5365     39.825     0.000
29.9661     39.825     0.000
30.4020     39.825     0.000
30.8442     39.825     0.000
31.2929     39.825     0.000
31.7480     39.825     0.000
32.2098     39.825     0.000
32.6783     39.825     0.000
33.1536     39.825     0.000
33.6359     39.825     0.000
34.1251     39.825     0.000
34.6215     39.825     0.000
35.1250     39.825     0.000
35.6359     39.825     0.000
36.1543     39.825     0.000
36.6802     39.825     0.000
37.2137     39.825     0.000
37.7550     39.825     0.000
38.3041     39.825     0.000
38.8613     39.825     0.000
39.4265     39.825     0.000
40.0000     39.825     0.000
40.5818     39.825     0.000
41.1721     39.825     0.000
41.7710     39.825     0.000
42.3785     39.825     0.000
42.9949     39.825     0.000
43.6203     39.825     0.000
44.2548     39.825     0.000
44.8985     39.825     0.000
45.5515     39.825     0.000
46.2141     39.825     0.000
46.8863     39.825     0.000
47.5683     39.825     0.000
48.2602     39.825     0.000
48.9621     39.825     0.000
49.6743     39.825     0.000
50.3968     39.825     0.000
51.1299     39.825     0.000
51.8736     39.825     0.000
52.6281     39.825     0.000
53.3936     39.825     0.000
54.1702     39.825     0.000
54.9581     39.825     0.000
55.7575     39.825     0.000
56.5685     39.825     0.000
57.3914     39.825     0.000
58.2261     39.825     0.000
59.0730     39.825     0.000
59.9323     39.825     0.000
60.8040     39.825     0.000
61.6884     39.825     0.000
62.5857     39.825     0.000
63.4960     39.825     0.000
64.4196     39.825     0.000
65.3566     39.825     0.000
66.3073     39.825     0.000
67.2717     39.825     0.000
68.2502     39.825     0.000
69.2429     39.825     0.000
70.2501     39.825     0.000
71.2719     39.825     0.000
72.3086     39.825     0.000
73.3603     39.825     0.000
74.4274     39.825     0.000
75.5099     39.825     0.000
76.6083     39.825     0.000
77.7226     39.825     0.000
78.8531     39.825     0.000
80.0000     39.825     0.000
81.1636     39.825     0.000
82.3442     39.825     0.000
83.5419     39.825     0.000
84.7570     39.825     0.000
85.9899     39.825     0.000
87.2406     39.825     0.000
88.5096     39.825     0.000
89.7970     39.825     0.000
91.1031     39.825     0.000
92.4282     39.825     0.000
93.7726     39.825     0.000
95.1366     39.825     0.000
96.5204     39.825     0.000
97.9243     39.825     0.000
99.3486     39.825     0.000
100.794     39.825     0.000
102.260     39.825     0.000
103.747     39.825     0.000
105.256     39.825     0.000
106.787     39.825     0.000
108.340     39.825     0.000
109.916     39.825     0.000
111.515     39.825     0.000
113.137     39.825     0.000
114.783     39.825     0.000
116.452     39.825     0.000
118.146     39.825     0.000
119.865     39.825     0.000
121.608     39.825     0.000
123.377     39.825     0.000
125.171     39.825     0.000
126.992     39.825     0.000
128.839     39.825     0.000
130.713     39.825     0.000
132.615     39.825     0.000
134.543     39.825     0.000
136.500     39.825     0.000
138.486     39.825     0.000
140.500     39.825     0.000
