Freq[Hz]     dBSPL  Phase[Deg]
5.00000     67.151   -18.272
5.07273     67.139   -18.274
5.14651     67.122   -18.276
5.22137     67.098   -18.281
5.29732     67.074   -18.287
5.37437     67.049   -18.294
5.45254     67.025   -18.301
5.53185     67.000   -18.309
5.61231     66.975   -18.317
5.69394     66.951   -18.326
5.77676     66.926   -18.334
5.86079     66.901   -18.343
5.94604     66.877   -18.352
6.03252     66.852   -18.361
6.12027     66.827   -18.370
6.20929     66.802   -18.379
6.29961     66.778   -18.388
6.39124     66.753   -18.398
6.48420     66.728   -18.408
6.57851     66.704   -18.418
6.67420     66.679   -18.428
6.77128     66.654   -18.438
6.86977     66.629   -18.448
6.96969     66.605   -18.459
7.07107     66.580   -18.470
7.17392     66.555   -18.481
7.27827     66.531   -18.492
7.38413     66.506   -18.503
7.49154     66.481   -18.515
7.60050     66.457   -18.526
7.71105     66.432   -18.538
7.82321     66.407   -18.551
7.93701     66.382   -18.563
8.05245     66.358   -18.575
8.16958     66.333   -18.588
8.28841     66.308   -18.601
8.40896     66.284   -18.614
8.53128     66.259   -18.627
8.65537     66.234   -18.641
8.78126     66.210   -18.655
8.90899     66.185   -18.669
9.03857     66.160   -18.683
9.17004     66.135   -18.698
9.30342     66.111   -18.712
9.43874     66.086   -18.727
9.57603     66.061   -18.743
9.71532     66.037   -18.758
9.85663     66.012   -18.774
10.0000     65.987   -18.790
10.1455     65.962   -18.806
10.2930     65.938   -18.823
10.4427     65.913   -18.840
10.5946     65.888   -18.857
10.7487     65.864   -18.874
10.9051     65.839   -18.892
11.0637     65.814   -18.910
11.2246     65.790   -18.928
11.3879     65.765   -18.947
11.5535     65.740   -18.966
11.7216     65.715   -18.986
11.8921     65.691   -19.005
12.0650     65.666   -19.025
12.2405     65.641   -19.046
12.4186     65.617   -19.067
12.5992     65.592   -19.088
12.7825     65.567   -19.109
12.9684     65.543   -19.131
13.1570     65.518   -19.154
13.3484     65.493   -19.176
13.5426     65.468   -19.200
13.7395     65.444   -19.223
13.9394     65.419   -19.247
14.1421     65.394   -19.272
14.3478     65.370   -19.297
